logwavrest logwavobs lognuLnu logfnu
-0.836 0.009 9.656 -1.849
-0.826 0.019 9.661 -1.833
-0.815 0.03 9.727 -1.756
-0.804 0.041 9.674 -1.798
-0.794 0.052 9.634 -1.827
-0.783 0.062 9.622 -1.829
-0.772 0.073 9.592 -1.848
-0.761 0.084 9.586 -1.843
-0.759 0.086 9.588 -1.839
-0.757 0.088 9.59 -1.835
-0.755 0.09 9.58 -1.843
-0.753 0.092 9.576 -1.844
-0.751 0.095 9.575 -1.844
-0.748 0.097 9.578 -1.839
-0.746 0.099 9.571 -1.843
-0.744 0.101 9.566 -1.846
-0.742 0.103 9.568 -1.842
-0.74 0.105 9.565 -1.842
-0.738 0.108 9.563 -1.843
-0.735 0.11 9.568 -1.835
-0.733 0.112 9.577 -1.825
-0.731 0.114 9.584 -1.815
-0.729 0.116 9.58 -1.817
-0.727 0.118 9.582 -1.813
-0.725 0.121 9.604 -1.788
-0.722 0.123 9.625 -1.766
-0.72 0.125 9.64 -1.748
-0.718 0.127 9.627 -1.759
-0.716 0.129 9.585 -1.798
-0.714 0.131 9.562 -1.82
-0.712 0.134 9.544 -1.836
-0.709 0.136 9.535 -1.843
-0.707 0.138 9.524 -1.851
-0.705 0.14 9.516 -1.857
-0.703 0.142 9.515 -1.856
-0.701 0.144 9.514 -1.855
-0.699 0.147 9.51 -1.857
-0.696 0.149 9.504 -1.86
-0.694 0.151 9.502 -1.861
-0.692 0.153 9.5 -1.86
-0.69 0.155 9.5 -1.858
-0.688 0.157 9.504 -1.852
-0.686 0.16 9.509 -1.844
-0.683 0.162 9.509 -1.842
-0.681 0.164 9.505 -1.845
-0.679 0.166 9.498 -1.849
-0.677 0.168 9.493 -1.852
-0.675 0.17 9.484 -1.858
-0.673 0.173 9.478 -1.862
-0.67 0.175 9.476 -1.862
-0.668 0.177 9.473 -1.863
-0.666 0.179 9.466 -1.869
-0.664 0.181 9.468 -1.864
-0.662 0.183 9.465 -1.865
-0.66 0.186 9.459 -1.868
-0.657 0.188 9.455 -1.871
-0.655 0.19 9.457 -1.866
-0.653 0.192 9.457 -1.864
-0.651 0.194 9.451 -1.867
-0.649 0.196 9.449 -1.868
-0.647 0.199 9.454 -1.86
-0.644 0.201 9.454 -1.858
-0.642 0.203 9.462 -1.848
-0.64 0.205 9.464 -1.844
-0.638 0.207 9.472 -1.834
-0.636 0.209 9.473 -1.831
-0.634 0.212 9.486 -1.816
-0.631 0.214 9.477 -1.822
-0.629 0.216 9.471 -1.827
-0.627 0.218 9.468 -1.827
-0.625 0.22 9.466 -1.827
-0.623 0.222 9.47 -1.821
-0.621 0.224 9.471 -1.817
-0.618 0.227 9.474 -1.812
-0.616 0.229 9.489 -1.795
-0.614 0.231 9.483 -1.799
-0.612 0.233 9.481 -1.798
-0.61 0.235 9.476 -1.802
-0.608 0.237 9.48 -1.795
-0.605 0.24 9.479 -1.794
-0.603 0.242 9.477 -1.794
-0.601 0.244 9.48 -1.789
-0.599 0.246 9.475 -1.792
-0.597 0.248 9.476 -1.788
-0.595 0.25 9.477 -1.786
-0.592 0.253 9.472 -1.789
-0.59 0.255 9.469 -1.789
-0.588 0.257 9.467 -1.789
-0.586 0.259 9.467 -1.787
-0.584 0.261 9.471 -1.781
-0.582 0.263 9.47 -1.78
-0.579 0.266 9.465 -1.782
-0.577 0.268 9.454 -1.791
-0.575 0.27 9.45 -1.793
-0.573 0.272 9.455 -1.786
-0.571 0.274 9.457 -1.782
-0.569 0.276 9.463 -1.773
-0.566 0.279 9.475 -1.76
-0.564 0.281 9.49 -1.743
-0.562 0.283 9.502 -1.728
-0.56 0.285 9.513 -1.715
-0.558 0.287 9.527 -1.699
-0.556 0.289 9.571 -1.653
-0.553 0.292 9.652 -1.57
-0.551 0.294 9.611 -1.609
-0.549 0.296 9.546 -1.671
-0.547 0.298 9.53 -1.685
-0.545 0.3 9.516 -1.696
-0.543 0.302 9.503 -1.707
-0.54 0.305 9.495 -1.713
-0.538 0.307 9.487 -1.72
-0.536 0.309 9.485 -1.719
-0.534 0.311 9.497 -1.705
-0.532 0.313 9.508 -1.692
-0.53 0.315 9.509 -1.688
-0.527 0.318 9.508 -1.687
-0.525 0.32 9.503 -1.691
-0.523 0.322 9.49 -1.701
-0.521 0.324 9.476 -1.713
-0.519 0.326 9.468 -1.719
-0.517 0.328 9.477 -1.707
-0.514 0.331 9.481 -1.701
-0.512 0.333 9.486 -1.694
-0.51 0.335 9.488 -1.69
-0.508 0.337 9.493 -1.683
-0.506 0.339 9.513 -1.661
-0.504 0.341 9.517 -1.654
-0.501 0.344 9.516 -1.653
-0.499 0.346 9.528 -1.639
-0.497 0.348 9.54 -1.625
-0.495 0.35 9.546 -1.617
-0.493 0.352 9.543 -1.618
-0.491 0.354 9.54 -1.618
-0.488 0.357 9.538 -1.618
-0.486 0.359 9.546 -1.608
-0.484 0.361 9.547 -1.605
-0.482 0.363 9.542 -1.607
-0.48 0.365 9.536 -1.611
-0.478 0.367 9.535 -1.61
-0.475 0.37 9.601 -1.542
-0.473 0.372 9.542 -1.599
-0.471 0.374 9.542 -1.597
-0.469 0.376 9.547 -1.59
-0.467 0.378 9.556 -1.579
-0.465 0.38 9.637 -1.495
-0.462 0.383 9.571 -1.56
-0.46 0.385 9.567 -1.562
-0.458 0.387 9.57 -1.556
-0.456 0.389 9.571 -1.553
-0.454 0.391 9.564 -1.558
-0.452 0.393 9.554 -1.566
-0.449 0.396 9.547 -1.571
-0.447 0.398 9.558 -1.558
-0.445 0.4 9.567 -1.546
-0.443 0.402 9.568 -1.543
-0.441 0.404 9.574 -1.535
-0.439 0.406 9.569 -1.537
-0.436 0.409 9.571 -1.533
-0.434 0.411 9.567 -1.535
-0.432 0.413 9.57 -1.53
-0.43 0.415 9.581 -1.517
-0.428 0.417 9.748 -1.348
-0.426 0.419 9.59 -1.504
-0.423 0.422 9.59 -1.502
-0.421 0.424 9.583 -1.506
-0.419 0.426 9.567 -1.521
-0.417 0.428 9.582 -1.503
-0.415 0.43 9.584 -1.499
-0.413 0.432 9.833 -1.247
-0.41 0.435 9.645 -1.433
-0.408 0.437 9.581 -1.495
-0.406 0.439 9.593 -1.482
-0.404 0.441 9.592 -1.48
-0.402 0.443 9.694 -1.376
-0.4 0.445 9.588 -1.479
-0.397 0.448 9.595 -1.471
-0.395 0.45 9.599 -1.465
-0.393 0.452 9.603 -1.458
-0.391 0.454 9.607 -1.452
-0.389 0.456 9.613 -1.444
-0.387 0.458 9.715 -1.34
-0.384 0.461 9.627 -1.426
-0.382 0.463 9.623 -1.427
-0.38 0.465 9.627 -1.421
-0.378 0.467 9.632 -1.414
-0.376 0.469 9.636 -1.408
-0.374 0.471 9.64 -1.402
-0.372 0.474 9.652 -1.388
-0.369 0.476 9.659 -1.379
-0.367 0.478 9.69 -1.345
-0.365 0.48 9.729 -1.304
-0.363 0.482 9.867 -1.164
-0.361 0.484 9.811 -1.218
-0.359 0.487 9.73 -1.297
-0.356 0.489 9.712 -1.312
-0.354 0.491 9.701 -1.321
-0.352 0.493 9.699 -1.321
-0.35 0.495 9.713 -1.305
-0.348 0.497 9.74 -1.275
-0.346 0.5 9.774 -1.239
-0.343 0.502 9.776 -1.235
-0.341 0.504 9.791 -1.218
-0.339 0.506 9.794 -1.213
-0.337 0.508 9.772 -1.233
-0.335 0.51 9.784 -1.218
-0.333 0.513 9.757 -1.244
-0.33 0.515 9.747 -1.251
-0.328 0.517 9.722 -1.274
-0.326 0.519 9.728 -1.266
-0.324 0.521 9.732 -1.26
-0.322 0.523 9.736 -1.254
-0.32 0.526 9.769 -1.218
-0.317 0.528 9.84 -1.146
-0.315 0.53 9.948 -1.036
-0.313 0.532 10.262 -0.719
-0.311 0.534 9.959 -1.02
-0.309 0.536 9.897 -1.079
-0.307 0.539 9.882 -1.092
-0.304 0.541 10.431 -0.541
-0.302 0.543 9.919 -1.051
-0.3 0.545 10.556 -0.412
-0.298 0.547 9.831 -1.135
-0.296 0.549 9.796 -1.168
-0.294 0.552 9.784 -1.177
-0.291 0.554 9.788 -1.172
-0.289 0.556 9.801 -1.156
-0.287 0.558 9.843 -1.112
-0.285 0.56 9.85 -1.103
-0.283 0.562 9.845 -1.106
-0.281 0.565 9.856 -1.092
-0.278 0.567 9.865 -1.082
-0.276 0.569 9.875 -1.069
-0.274 0.571 9.874 -1.068
-0.272 0.573 9.847 -1.093
-0.27 0.575 9.828 -1.11
-0.268 0.578 9.826 -1.11
-0.265 0.58 9.829 -1.104
-0.263 0.582 9.832 -1.099
-0.261 0.584 9.836 -1.094
-0.259 0.586 9.839 -1.088
-0.257 0.588 9.842 -1.083
-0.255 0.591 9.845 -1.077
-0.252 0.593 9.848 -1.072
-0.25 0.595 9.851 -1.067
-0.248 0.597 9.855 -1.061
-0.246 0.599 9.858 -1.056
